shape,noise,init,model,attack,norm,eps,n,clean_rel_l2_mean,clean_rel_l2_median,clean_mse_mean,clean_mse_median,adv_rel_l2_mean,adv_rel_l2_median,adv_mse_mean,adv_mse_median
rectangles,0.01,pinv,dpnsn_res,adam,l2,0.005,32,0.02719426655676216,0.02664567343890667,3.833550471199487e-05,2.9399278901109938e-05,0.12387450318783522,0.12402379140257835,0.0006688436742479098,0.0006237021589186043
rectangles,0.01,pinv,dpnsn_res,adam,l2,0.01,32,0.02719426655676216,0.02664567343890667,3.833550471199487e-05,2.9399278901109938e-05,0.4876509518362582,0.5059205591678619,0.010830124763742788,0.010531923733651638
rectangles,0.01,pinv,dpnsn_res,adam,l2,0.02,32,0.02719426655676216,0.02664567343890667,3.833550471199487e-05,2.9399278901109938e-05,1.5594948250800371,1.5694330930709839,0.10474796325433999,0.10478635132312775
rectangles,0.01,pinv,dpnsn_res,adam,l2,0.05,32,0.02719426655676216,0.02664567343890667,3.833550471199487e-05,2.9399278901109938e-05,4.554101571440697,4.52626895904541,0.8843345493078232,0.908044159412384
rectangles,0.01,pinv,dpnsn_res,adam,l2,0.1,32,0.02719426655676216,0.02664567343890667,3.833550471199487e-05,2.9399278901109938e-05,9.384827375411987,9.464253425598145,3.7546128630638123,3.6553817987442017
rectangles,0.01,pinv,dpnsn_res,adam,l2,0.2,32,0.02719426655676216,0.02664567343890667,3.833550471199487e-05,2.9399278901109938e-05,19.116861164569855,19.390501976013184,15.584910482168198,14.878164768218994
rectangles,0.01,pinv,nsn,adam,l2,0.005,32,0.22601599199697375,0.2178731933236122,0.0027865669635502854,0.00198779022321105,0.6407170351594687,0.6203122138977051,0.018322135758353397,0.01665056124329567
rectangles,0.01,pinv,nsn,adam,l2,0.01,32,0.22601599199697375,0.2178731933236122,0.0027865669635502854,0.00198779022321105,1.1234636679291725,1.099641740322113,0.054513521608896554,0.05242645740509033
rectangles,0.01,pinv,nsn,adam,l2,0.02,32,0.22601599199697375,0.2178731933236122,0.0027865669635502854,0.00198779022321105,2.139199074357748,2.1093560457229614,0.19518108339980245,0.19345960021018982
rectangles,0.01,pinv,nsn,adam,l2,0.05,32,0.22601599199697375,0.2178731933236122,0.0027865669635502854,0.00198779022321105,5.140158869326115,5.0827271938323975,1.1231064274907112,1.121598720550537
rectangles,0.01,pinv,nsn,adam,l2,0.1,32,0.22601599199697375,0.2178731933236122,0.0027865669635502854,0.00198779022321105,10.010883241891861,9.891447067260742,4.255445405840874,4.256213903427124
rectangles,0.01,pinv,nsn,adam,l2,0.2,32,0.22601599199697375,0.2178731933236122,0.0027865669635502854,0.00198779022321105,19.78784480690956,19.54825496673584,16.61260360479355,16.60646915435791
rectangles,0.01,pinv,resnet,adam,l2,0.005,32,0.011853363219415769,0.011533250100910664,7.050997218982502e-06,5.843177632414154e-06,0.12181944842450321,0.11103445291519165,0.0006463070722020348,0.0006355139194056392
rectangles,0.01,pinv,resnet,adam,l2,0.01,32,0.011853363219415769,0.011533250100910664,7.050997218982502e-06,5.843177632414154e-06,0.3833686774596572,0.3585134744644165,0.006457553074142197,0.006278380285948515
rectangles,0.01,pinv,resnet,adam,l2,0.02,32,0.011853363219415769,0.011533250100910664,7.050997218982502e-06,5.843177632414154e-06,1.1673884857445955,1.1572385430335999,0.05806321813724935,0.05423574894666672
rectangles,0.01,pinv,resnet,adam,l2,0.05,32,0.011853363219415769,0.011533250100910664,7.050997218982502e-06,5.843177632414154e-06,3.4191097281873226,3.48872172832489,0.5046966094523668,0.49267101287841797
rectangles,0.01,pinv,resnet,adam,l2,0.1,32,0.011853363219415769,0.011533250100910664,7.050997218982502e-06,5.843177632414154e-06,7.14253856241703,7.177289724349976,2.207238119095564,2.234613299369812
rectangles,0.01,pinv,resnet,adam,l2,0.2,32,0.011853363219415769,0.011533250100910664,7.050997218982502e-06,5.843177632414154e-06,14.383963510394096,14.135912418365479,8.93372918665409,9.127941608428955
